"","StationCode","Name","lat","long","HUC","CALWNUM","COUNTY","HUNAME","LEVEL3"
"6","518RCAJNC","Rock Creek",40.3887,-121.1574,"518","5518.440601","Plumas","FEATHER RIVER",5
"10","518CCCACN","Concow Creek",39.7859,-121.5108,"518","5518.600302","Butte","FEATHER RIVER",5
"9","521BUT206","Dry Creek at Paradise",39.7523,-121.5767,"521","5521.100109","Butte","BUTTE CREEK",6
"7","517LCCAYB","Lincoln creek",39.5992,-120.5113,"517","5517.540103","Sierra","YUBA RIVER",5
"3","517FCA046","Oregon Creek",39.4655,-120.9674,"517","5517.410101","Sierra","YUBA RIVER",5
"8","635PRS001","Prosser Cr",39.3833,-120.2258,"635","8635.200302","Nevada","TRUCKEE RIVER",5
"1","514PS0090","Monumental Creek",39.2596,-120.6154,"514","5514.540002","Placer","AMERICAN RIVER",5
"5","514DNCLDC","Duncan Canyon",39.1388,-120.4756,"514","5514.420202","Placer","AMERICAN RIVER",5
"2","206SON300","Sonoma Creek below Adobe Cyn. Rd.",38.4426,-122.5314,"206","2206.400103","Sonoma","SAN PABLO",6
"4","537R5NPFA","Fly Away",37.6224,-120.1427,"537","6537.210200","Mariposa","MERCED RIVER",6
